date,value
2016-08-27,1822
2016-08-28,1130
2016-08-29,1478
2016-08-30,1655
2016-08-31,1840
2016-09-01,1006
2016-09-02,1729
2016-09-03,1799
2016-09-04,1673
2016-09-05,1327
2016-09-06,1965
2016-09-07,1295
2016-09-08,1480
2016-09-09,1767
2016-09-10,1794
2016-09-11,1786
2016-09-12,1320
2016-09-13,1514
2016-09-14,1081
2016-09-15,1190
2016-09-16,1410
2016-09-17,1032
2016-09-18,1142
2016-09-19,1899
2016-09-20,1528
2016-09-21,1518
2016-09-22,1695
2016-09-23,1118
2016-09-24,1187
2016-09-25,1003
2016-09-26,1310
2016-09-27,1376
2016-09-28,1606
2016-09-29,1300
2016-09-30,1362
2016-10-01,1470
2016-10-02,1066
2016-10-03,1242
2016-10-04,1469
2016-10-05,1980
2016-10-06,1936
2016-10-07,1823
2016-10-08,1817
2016-10-09,1919
2016-10-10,1494
2016-10-11,1980
2016-10-12,1804
2016-10-13,1103
2016-10-14,1453
2016-10-15,1170
2016-10-16,1685
2016-10-17,1993
2016-10-18,1292
2016-10-19,1756
2016-10-20,1313
2016-10-21,1691
2016-10-22,1004
2016-10-23,1846
2016-10-24,1021
2016-10-25,1189
2016-10-26,1970
2016-10-27,1302
2016-10-28,1144
2016-10-29,1377
2016-10-30,1611
2016-10-31,1446
2016-11-01,1906
2016-11-02,1894
2016-11-03,1778
2016-11-04,1357
2016-11-05,1897
2016-11-06,1404
2016-11-07,1272
2016-11-08,1053
2016-11-09,1117
2016-11-10,1279
2016-11-11,1907
2016-11-12,1229
2016-11-13,1279
2016-11-14,1801
2016-11-15,1721
2016-11-16,1420
2016-11-17,1527
2016-11-18,1380
2016-11-19,1971
2016-11-20,1291
2016-11-21,1800
2016-11-22,1084
2016-11-23,1507
2016-11-24,1861
2016-11-25,1947
2016-11-26,1810
2016-11-27,1382
2016-11-28,1506
2016-11-29,1633
2016-11-30,1498
2016-12-01,1719
2016-12-02,1292
2016-12-03,1461
2016-12-04,1491
2016-12-05,1925
2016-12-06,1974
2016-12-07,1626
2016-12-08,1520
2016-12-09,1018
2016-12-10,1385
2016-12-11,1399
2016-12-12,1777
2016-12-13,1427
2016-12-14,1146
2016-12-15,1006
2016-12-16,1287
2016-12-17,1650
2016-12-18,1891
2016-12-19,1399
2016-12-20,1293
2016-12-21,1029
2016-12-22,1938
2016-12-23,1922
2016-12-24,1584
2016-12-25,1956
2016-12-26,1180
2016-12-27,1367
2016-12-28,1215
2016-12-29,1164
2016-12-30,1046
2016-12-31,1148
2017-01-01,1946
2017-01-02,1794
2017-01-03,1333
2017-01-04,1594
2017-01-05,1346
2017-01-06,1382
2017-01-07,1196
2017-01-08,1593
2017-01-09,1253
2017-01-10,1169
2017-01-11,1010
2017-01-12,1109
2017-01-13,1998
2017-01-14,1320
2017-01-15,1047
2017-01-16,1808
2017-01-17,1624
2017-01-18,1168
2017-01-19,1543
2017-01-20,1000
2017-01-21,1759
2017-01-22,1322
2017-01-23,1578
2017-01-24,1423
2017-01-25,1814
2017-01-26,1682
2017-01-27,1897
2017-01-28,1453
2017-01-29,1190
2017-01-30,1887
2017-01-31,1573
2017-02-01,1652
2017-02-02,1031
2017-02-03,1119
2017-02-04,1726
2017-02-05,1656
2017-02-06,1230
2017-02-07,1709
2017-02-08,1297
2017-02-09,1381
2017-02-10,1914
2017-02-11,1030
2017-02-12,1757
2017-02-13,1087
2017-02-14,1544
2017-02-15,1905
2017-02-16,1694
2017-02-17,1643
2017-02-18,1003
2017-02-19,1076
2017-02-20,1792
2017-02-21,1857
2017-02-22,1704
2017-02-23,1151
2017-02-24,1819
2017-02-25,1410
2017-02-26,1745
2017-02-27,1589
2017-02-28,1196
2017-03-01,1271
2017-03-02,1351
2017-03-03,1712
2017-03-04,1170
2017-03-05,1880
2017-03-06,1744
2017-03-07,1077
2017-03-08,1009
2017-03-09,1371
2017-03-10,1737
2017-03-11,1665
2017-03-12,1507
2017-03-13,1308
2017-03-14,1199
2017-03-15,1569
2017-03-16,1001
2017-03-17,1310
2017-03-18,1087
2017-03-19,1312
2017-03-20,1979
2017-03-21,1365
2017-03-22,1048
2017-03-23,1817
2017-03-24,1234
2017-03-25,1364
2017-03-26,1874
2017-03-27,1677
2017-03-28,1224
2017-03-29,1463
2017-03-30,1871
2017-03-31,1632
2017-04-01,1762
2017-04-02,1613
2017-04-03,1285
2017-04-04,1512
2017-04-05,1351
2017-04-06,1399
2017-04-07,1104
2017-04-08,1690
2017-04-09,1070
2017-04-10,1161
2017-04-11,1505
2017-04-12,1411
2017-04-13,1590
2017-04-14,1340
2017-04-15,1417
2017-04-16,1618
2017-04-17,1875
2017-04-18,1381
2017-04-19,1118
2017-04-20,1494
2017-04-21,1696
2017-04-22,1135
2017-04-23,1914
2017-04-24,1405
2017-04-25,1015
2017-04-26,1098
2017-04-27,1356
2017-04-28,1491
2017-04-29,1095
2017-04-30,1624
2017-05-01,1234
2017-05-02,1923
2017-05-03,1225
2017-05-04,1437
2017-05-05,1480
2017-05-06,1016
2017-05-07,1405
2017-05-08,1794
2017-05-09,1265
2017-05-10,1386
2017-05-11,1077
2017-05-12,1618
2017-05-13,1378
2017-05-14,1204
2017-05-15,1575
2017-05-16,1551
2017-05-17,1303
2017-05-18,1824
2017-05-19,1742
2017-05-20,1308
2017-05-21,1437
2017-05-22,1621
2017-05-23,1018
2017-05-24,1067
2017-05-25,1264
2017-05-26,1250
2017-05-27,1948
2017-05-28,1717
2017-05-29,1619
2017-05-30,1887
2017-05-31,1965
2017-06-01,1770
2017-06-02,1568
2017-06-03,1686
2017-06-04,1439
2017-06-05,1888
2017-06-06,1900
2017-06-07,1039
2017-06-08,1679
2017-06-09,1592
2017-06-10,1448
2017-06-11,1480
2017-06-12,1315
2017-06-13,1214
2017-06-14,1134
2017-06-15,1632
2017-06-16,1927
2017-06-17,1231
2017-06-18,1130
2017-06-19,1831
2017-06-20,1640
2017-06-21,1367
2017-06-22,1399
2017-06-23,1263
2017-06-24,1710
2017-06-25,1934
2017-06-26,1669
2017-06-27,1871
2017-06-28,1759
2017-06-29,1933
2017-06-30,1994
2017-07-01,1006
2017-07-02,1245
2017-07-03,1557
2017-07-04,1057
2017-07-05,1806
2017-07-06,1827
2017-07-07,1441
2017-07-08,1950
2017-07-09,1006
2017-07-10,1334
2017-07-11,1680
2017-07-12,1384
2017-07-13,1139
2017-07-14,1008
2017-07-15,1769
2017-07-16,1474
2017-07-17,1523
2017-07-18,1822
2017-07-19,1556
2017-07-20,1733
2017-07-21,1236
2017-07-22,1438
2017-07-23,1172
2017-07-24,1235
2017-07-25,1300
2017-07-26,1833
2017-07-27,1237
2017-07-28,1916
2017-07-29,1269
2017-07-30,1940
2017-07-31,1107
2017-08-01,1096
2017-08-02,1964
2017-08-03,1390
2017-08-04,1300
2017-08-05,1001
2017-08-06,1281
2017-08-07,1053
2017-08-08,1567
2017-08-09,1394
2017-08-10,1228
2017-08-11,1852
2017-08-12,1925
2017-08-13,1713
2017-08-14,1720
2017-08-15,1251
2017-08-16,1019
2017-08-17,1964
2017-08-18,1558
2017-08-19,1652
2017-08-20,1190
2017-08-21,1997
2017-08-22,1492
2017-08-23,1297
2017-08-24,1721
2017-08-25,1488
2017-08-26,1785
2017-08-27,1599
2017-08-28,1429
2017-08-29,1949
2017-08-30,1272
2017-08-31,1161
2017-09-01,1879
2017-09-02,1006
2017-09-03,1036
2017-09-04,1217
2017-09-05,1297
2017-09-06,1833
2017-09-07,1496
2017-09-08,1084
2017-09-09,1878
2017-09-10,1477
2017-09-11,1429
2017-09-12,1787
2017-09-13,1158
2017-09-14,1981
2017-09-15,1351
2017-09-16,1701
2017-09-17,1989
2017-09-18,1249
2017-09-19,1016
2017-09-20,1877
2017-09-21,1066
2017-09-22,1024
2017-09-23,1373
2017-09-24,1978
2017-09-25,1401
2017-09-26,1155
2017-09-27,1281
2017-09-28,1579
2017-09-29,1878
2017-09-30,1922
2017-10-01,1333
2017-10-02,1274
2017-10-03,1079
2017-10-04,1999
2017-10-05,1532
2017-10-06,1384
2017-10-07,1440
2017-10-08,1596
2017-10-09,1975
2017-10-10,1148
2017-10-11,1955
2017-10-12,1018
2017-10-13,1469
2017-10-14,1503
2017-10-15,1058
2017-10-16,1417
2017-10-17,1394
2017-10-18,1634
2017-10-19,1056
2017-10-20,1429
2017-10-21,1074
2017-10-22,1770
2017-10-23,1267
2017-10-24,1291
2017-10-25,1215
2017-10-26,1918
2017-10-27,1776
2017-10-28,1129
2017-10-29,1949
2017-10-30,1248
2017-10-31,1521
2017-11-01,1500
2017-11-02,1188
2017-11-03,1409
2017-11-04,1173
2017-11-05,1274
2017-11-06,1671
2017-11-07,1465
2017-11-08,1246
2017-11-09,1245
2017-11-10,1733
2017-11-11,1132
2017-11-12,1761
2017-11-13,1583
2017-11-14,1982
2017-11-15,1798
2017-11-16,1101
2017-11-17,1053
2017-11-18,1389
2017-11-19,1583
2017-11-20,1644
2017-11-21,1964
2017-11-22,1869
2017-11-23,1408
2017-11-24,1665
2017-11-25,1742
2017-11-26,1761
2017-11-27,1186
2017-11-28,1989
2017-11-29,1331
2017-11-30,1117
2017-12-01,1661
2017-12-02,1256
2017-12-03,1523
2017-12-04,1210
2017-12-05,1155
2017-12-06,1805
2017-12-07,1656
2017-12-08,1296
2017-12-09,1229
2017-12-10,1958
2017-12-11,1858
2017-12-12,1607
2017-12-13,1447
2017-12-14,1933
2017-12-15,1521
2017-12-16,1155
2017-12-17,1434
2017-12-18,1607
2017-12-19,1473
2017-12-20,1609
2017-12-21,1124
2017-12-22,1988
2017-12-23,1618
2017-12-24,1579
2017-12-25,1071
2017-12-26,1009
2017-12-27,1495
2017-12-28,1509
2017-12-29,1888
2017-12-30,1202
2017-12-31,1382
2018-01-01,1151
2018-01-02,1489
2018-01-03,1421
2018-01-04,1550
2018-01-05,1897
2018-01-06,1855
2018-01-07,1079
2018-01-08,1260
2018-01-09,1785
2018-01-10,1079
2018-01-11,1245
2018-01-12,1867
2018-01-13,1706
2018-01-14,1796
2018-01-15,1015
2018-01-16,1751
2018-01-17,1260
2018-01-18,1264
2018-01-19,1492
2018-01-20,1858
2018-01-21,1635
2018-01-22,1520
2018-01-23,1817
2018-01-24,1692
2018-01-25,1925
2018-01-26,1165
2018-01-27,1097
2018-01-28,1417
2018-01-29,1735
2018-01-30,1337
2018-01-31,1688
2018-02-01,1429
2018-02-02,1834
2018-02-03,1342
2018-02-04,1634
2018-02-05,1999
2018-02-06,1099
2018-02-07,1356
2018-02-08,1157
2018-02-09,1174
2018-02-10,1708
2018-02-11,1551
2018-02-12,1062
2018-02-13,1264
2018-02-14,1259
2018-02-15,1939
2018-02-16,1685
2018-02-17,1627
2018-02-18,1914
2018-02-19,1918
2018-02-20,1196
2018-02-21,1498
2018-02-22,1261
2018-02-23,1884
2018-02-24,1483
2018-02-25,1776
2018-02-26,1214
2018-02-27,1096
2018-02-28,1976
2018-03-01,1480
2018-03-02,1234
2018-03-03,1477
2018-03-04,1199
2018-03-05,1702
2018-03-06,1710
2018-03-07,1693
2018-03-08,1495
2018-03-09,1785
2018-03-10,1848
2018-03-11,1082
2018-03-12,1037
2018-03-13,1135
2018-03-14,1120
2018-03-15,1339
2018-03-16,1488
2018-03-17,1500
2018-03-18,1510
2018-03-19,1022
2018-03-20,1556
2018-03-21,1047
2018-03-22,1588
2018-03-23,1560
2018-03-24,1036
2018-03-25,1051
2018-03-26,1655
2018-03-27,1624
2018-03-28,1558
2018-03-29,1954
2018-03-30,1351
2018-03-31,1000
2018-04-01,1297
2018-04-02,1953
2018-04-03,1073
2018-04-04,1331
2018-04-05,1214
2018-04-06,1963
2018-04-07,1861
2018-04-08,1701
2018-04-09,1169
2018-04-10,1353
2018-04-11,1046
2018-04-12,1102
2018-04-13,1441
2018-04-14,1289
2018-04-15,1111
2018-04-16,1111
2018-04-17,1464
2018-04-18,1443
2018-04-19,1084
2018-04-20,1325
2018-04-21,1257
2018-04-22,1681
2018-04-23,1141
2018-04-24,1883
2018-04-25,1024
2018-04-26,1248
2018-04-27,1683
2018-04-28,1091
2018-04-29,1675
2018-04-30,1843
2018-05-01,1331
2018-05-02,1386
2018-05-03,1012
2018-05-04,1236
2018-05-05,1038
2018-05-06,1863
2018-05-07,1306
2018-05-08,1879
2018-05-09,1092
2018-05-10,1282
2018-05-11,1977
2018-05-12,1516
2018-05-13,1171
2018-05-14,1806
2018-05-15,1677
2018-05-16,1376
2018-05-17,1524
2018-05-18,1823
2018-05-19,1196
2018-05-20,1446
2018-05-21,1253
2018-05-22,1421
2018-05-23,1714
2018-05-24,1493
2018-05-25,1964
2018-05-26,1474
2018-05-27,1289
2018-05-28,1759
2018-05-29,1728
2018-05-30,1158
2018-05-31,1797
2018-06-01,1024
2018-06-02,1731
2018-06-03,1521
2018-06-04,1229
2018-06-05,1428
2018-06-06,1819
2018-06-07,1976
2018-06-08,1818
2018-06-09,1486
2018-06-10,1243
2018-06-11,1983
2018-06-12,1333
2018-06-13,1098
2018-06-14,1613
2018-06-15,1960
2018-06-16,1814
2018-06-17,1684
2018-06-18,1847
2018-06-19,1371
2018-06-20,1319
2018-06-21,1525
2018-06-22,1496
2018-06-23,1719
2018-06-24,1966
2018-06-25,1863
2018-06-26,1773
2018-06-27,1067
2018-06-28,1021
2018-06-29,1140
2018-06-30,1925
2018-07-01,1083
2018-07-02,1039
2018-07-03,1247
2018-07-04,1024
2018-07-05,1478
2018-07-06,1862
2018-07-07,1273
2018-07-08,1412
2018-07-09,1602
2018-07-10,1852
2018-07-11,1222
2018-07-12,1717
2018-07-13,1550
2018-07-14,1032
2018-07-15,1088
2018-07-16,1694
2018-07-17,1311
2018-07-18,1238
2018-07-19,1308
2018-07-20,1411
2018-07-21,1731
2018-07-22,1566
2018-07-23,1338
2018-07-24,1283
2018-07-25,1284
2018-07-26,1017
2018-07-27,1984
2018-07-28,1564
2018-07-29,1884
2018-07-30,1800
2018-07-31,1730
2018-08-01,1410
2018-08-02,1729
2018-08-03,1495
2018-08-04,1715
2018-08-05,1887
2018-08-06,1782
2018-08-07,1087
2018-08-08,1369
2018-08-09,1813
2018-08-10,1785
2018-08-11,1076
2018-08-12,1455
2018-08-13,1575
2018-08-14,1910
2018-08-15,1757
2018-08-16,1974
2018-08-17,1166
2018-08-18,1678
2018-08-19,1553
2018-08-20,1908
2018-08-21,1256
2018-08-22,1786
2018-08-23,1707
2018-08-24,1644
2018-08-25,1712
2018-08-26,1779
2018-08-27,1404
2018-08-28,1492
2018-08-29,1638
2018-08-30,1185
2018-08-31,1010
2018-09-01,1865
2018-09-02,1825
2018-09-03,1629
2018-09-04,1001
2018-09-05,1311
2018-09-06,1689
2018-09-07,1940
2018-09-08,1549
2018-09-09,1601
2018-09-10,1125
2018-09-11,1727
2018-09-12,1374
2018-09-13,1907
2018-09-14,1894
2018-09-15,1324
2018-09-16,1035
2018-09-17,1726
2018-09-18,1136
2018-09-19,1974
2018-09-20,1070
2018-09-21,1172
2018-09-22,1719
2018-09-23,1367
2018-09-24,1278
2018-09-25,1111
2018-09-26,1042
2018-09-27,1432
2018-09-28,1774
2018-09-29,1153
2018-09-30,1236
2018-10-01,1202
2018-10-02,1020
2018-10-03,1621
2018-10-04,1863
2018-10-05,1970
2018-10-06,1368
2018-10-07,1170
2018-10-08,1996
2018-10-09,1507
2018-10-10,1476
2018-10-11,1346
2018-10-12,1447
2018-10-13,1081
2018-10-14,1487
2018-10-15,1904
2018-10-16,1231
2018-10-17,1184
2018-10-18,1252
2018-10-19,1264
2018-10-20,1678
2018-10-21,1982
2018-10-22,1065
2018-10-23,1540
2018-10-24,1673
2018-10-25,1997
2018-10-26,1847
2018-10-27,1969
2018-10-28,1567
2018-10-29,1015
2018-10-30,1152
2018-10-31,1539
2018-11-01,1980
2018-11-02,1005
2018-11-03,1756
2018-11-04,1101
2018-11-05,1318
2018-11-06,1645
2018-11-07,1685
2018-11-08,1900
2018-11-09,1525
2018-11-10,1233
2018-11-11,1409
2018-11-12,1719
2018-11-13,1307
2018-11-14,1308
2018-11-15,1551
2018-11-16,1433
2018-11-17,1120
2018-11-18,1456
2018-11-19,1142
2018-11-20,1218
2018-11-21,1796
2018-11-22,1781
2018-11-23,1932
2018-11-24,1620
2018-11-25,1533
2018-11-26,1149
2018-11-27,1808
2018-11-28,1609
2018-11-29,1996
2018-11-30,1415
2018-12-01,1928
2018-12-02,1043
2018-12-03,1418
2018-12-04,1121
2018-12-05,1459
2018-12-06,1545
2018-12-07,1802
2018-12-08,1467
2018-12-09,1045
2018-12-10,1938
2018-12-11,1836
2018-12-12,1234
2018-12-13,1246
2018-12-14,1360
2018-12-15,1086
2018-12-16,1359
2018-12-17,1482
2018-12-18,1650
2018-12-19,1644
2018-12-20,1011
2018-12-21,1646
2018-12-22,1831
2018-12-23,1696
2018-12-24,1334
2018-12-25,1016
2018-12-26,1021
2018-12-27,1958
2018-12-28,1351
2018-12-29,1968
2018-12-30,1995
2018-12-31,1256
2019-01-01,1266
2019-01-02,1816
2019-01-03,1600
2019-01-04,1845
2019-01-05,1284
2019-01-06,1193
2019-01-07,1186
2019-01-08,1605
2019-01-09,1285
2019-01-10,1964
2019-01-11,1319
2019-01-12,1210
2019-01-13,1833
2019-01-14,1268
2019-01-15,1716
2019-01-16,1576
2019-01-17,1398
2019-01-18,1928
2019-01-19,1184
2019-01-20,1599
2019-01-21,1863
2019-01-22,1707
2019-01-23,1874
2019-01-24,1790
2019-01-25,1295
2019-01-26,1949
2019-01-27,1636
2019-01-28,1874
2019-01-29,1443
2019-01-30,1860
2019-01-31,1489
2019-02-01,1668
2019-02-02,1247
2019-02-03,1304
2019-02-04,1505
2019-02-05,1259
2019-02-06,1960
2019-02-07,1653
2019-02-08,1098
2019-02-09,1253
2019-02-10,1749
2019-02-11,1942
2019-02-12,1227
2019-02-13,1796
2019-02-14,1513
2019-02-15,1454
2019-02-16,1115
2019-02-17,1085
2019-02-18,1471
2019-02-19,1395
2019-02-20,1638
2019-02-21,1120
2019-02-22,1987
2019-02-23,1181
2019-02-24,1130
2019-02-25,1830
2019-02-26,1384
2019-02-27,1733
2019-02-28,1170
2019-03-01,1562
2019-03-02,1888
2019-03-03,1406
2019-03-04,1366
2019-03-05,1981
2019-03-06,1399
2019-03-07,1431
2019-03-08,1469
2019-03-09,1692
2019-03-10,1993
2019-03-11,1303
2019-03-12,1070
2019-03-13,1117
2019-03-14,1763
2019-03-15,1982
2019-03-16,1782
2019-03-17,1744
2019-03-18,1535
2019-03-19,1288
2019-03-20,1189
2019-03-21,1051
2019-03-22,1409
2019-03-23,1247
2019-03-24,1738
2019-03-25,1967
2019-03-26,1465
2019-03-27,1050
2019-03-28,1480
2019-03-29,1115
2019-03-30,1029
2019-03-31,1854
2019-04-01,1503
2019-04-02,1927
2019-04-03,1454
2019-04-04,1019
2019-04-05,1544
2019-04-06,1435
2019-04-07,1564
2019-04-08,1030
2019-04-09,1184
2019-04-10,1140
2019-04-11,1286
2019-04-12,1042
2019-04-13,1168
2019-04-14,1779
2019-04-15,1614
2019-04-16,1965
2019-04-17,1894
2019-04-18,1604
2019-04-19,1761
2019-04-20,1983
2019-04-21,1273
2019-04-22,1459
2019-04-23,1369
2019-04-24,1126
2019-04-25,1433
2019-04-26,1855
2019-04-27,1765
2019-04-28,1228
2019-04-29,1049
2019-04-30,1702
2019-05-01,1370
2019-05-02,1762
2019-05-03,1298
2019-05-04,1080
2019-05-05,1326
2019-05-06,1326
2019-05-07,1564
2019-05-08,1914
2019-05-09,1724
2019-05-10,1627
2019-05-11,1984
2019-05-12,1806
2019-05-13,1573
2019-05-14,1845
2019-05-15,1225
2019-05-16,1731
2019-05-17,1163
2019-05-18,1056
2019-05-19,1438
2019-05-20,1353
2019-05-21,1523
2019-05-22,1376
2019-05-23,1174
2019-05-24,1019
2019-05-25,1188
2019-05-26,1085
2019-05-27,1726
2019-05-28,1781
2019-05-29,1112
2019-05-30,1409
2019-05-31,1996
2019-06-01,1832
2019-06-02,1254
2019-06-03,1044
2019-06-04,1899
2019-06-05,1173
2019-06-06,1423
2019-06-07,1610
2019-06-08,1150
2019-06-09,1397
2019-06-10,1630
2019-06-11,1204
2019-06-12,1425
2019-06-13,1518
2019-06-14,1446
2019-06-15,1468
2019-06-16,1692
2019-06-17,1435
2019-06-18,1349
2019-06-19,1408
2019-06-20,1541
2019-06-21,1052
2019-06-22,1849
2019-06-23,1543
2019-06-24,1417
2019-06-25,1268
2019-06-26,1436
2019-06-27,1700
2019-06-28,1336
2019-06-29,1814
2019-06-30,1190
2019-07-01,1916
2019-07-02,1087
2019-07-03,1197
2019-07-04,1505
2019-07-05,1016
2019-07-06,1016
2019-07-07,1256
2019-07-08,1885
2019-07-09,1966
2019-07-10,1088
2019-07-11,1128
2019-07-12,1486
2019-07-13,1453
2019-07-14,1606
2019-07-15,1308
2019-07-16,1662
2019-07-17,1045
2019-07-18,1648
2019-07-19,1824
2019-07-20,1527
2019-07-21,1806
2019-07-22,1404
2019-07-23,1461
2019-07-24,1878
2019-07-25,1464
2019-07-26,1402
2019-07-27,1220
2019-07-28,1941
2019-07-29,1567
2019-07-30,1355
2019-07-31,1920
2019-08-01,1976
2019-08-02,1912
2019-08-03,1313
2019-08-04,1143
2019-08-05,1781
2019-08-06,1469
2019-08-07,1502
2019-08-08,1248
2019-08-09,1004
2019-08-10,1988
2019-08-11,1484
2019-08-12,1106
2019-08-13,1992
2019-08-14,1301
2019-08-15,1698
2019-08-16,1236
2019-08-17,1572
2019-08-18,1503
2019-08-19,1213
2019-08-20,1152
2019-08-21,1610
2019-08-22,1376
2019-08-23,1531
2019-08-24,1861
2019-08-25,1268
2019-08-26,1889
2019-08-27,1495
2019-08-28,1105
2019-08-29,1283
2019-08-30,1991
2019-08-31,1308
2019-09-01,1936
2019-09-02,1068
2019-09-03,1000
2019-09-04,1939
2019-09-05,1347
2019-09-06,1175
2019-09-07,1803
2019-09-08,1234
2019-09-09,1838
2019-09-10,1623
2019-09-11,1546
2019-09-12,1515
2019-09-13,1028
2019-09-14,1325
2019-09-15,1525
2019-09-16,1249
2019-09-17,1791
2019-09-18,1279
2019-09-19,1687
2019-09-20,1722
2019-09-21,1336
2019-09-22,1489
2019-09-23,1582
2019-09-24,1885
2019-09-25,1686
2019-09-26,1383
2019-09-27,1791
2019-09-28,1781
2019-09-29,1115
2019-09-30,1161
2019-10-01,1528
2019-10-02,1639
2019-10-03,1559
2019-10-04,1484
2019-10-05,1078
2019-10-06,1124
2019-10-07,1282
2019-10-08,1768
2019-10-09,1940
2019-10-10,1604
2019-10-11,1760
2019-10-12,1148
2019-10-13,1345
2019-10-14,1484
2019-10-15,1562
2019-10-16,1029
2019-10-17,1724
2019-10-18,1902
2019-10-19,1252
2019-10-20,1378
2019-10-21,1820
2019-10-22,1085
2019-10-23,1073
2019-10-24,1791
2019-10-25,1000
2019-10-26,1892
2019-10-27,1980
2019-10-28,1983
2019-10-29,1459
2019-10-30,1951
2019-10-31,1653
2019-11-01,1455
2019-11-02,1368
2019-11-03,1962
2019-11-04,1966
2019-11-05,1342
2019-11-06,1617
2019-11-07,1165
2019-11-08,1425
2019-11-09,1642
2019-11-10,1470
2019-11-11,1974
2019-11-12,1831
2019-11-13,1249
2019-11-14,1526
2019-11-15,1734
2019-11-16,1858
2019-11-17,1196
2019-11-18,1856
2019-11-19,1968
2019-11-20,1001
2019-11-21,1455
2019-11-22,1194
2019-11-23,1165
2019-11-24,1494
2019-11-25,1832
2019-11-26,1515
2019-11-27,1813
2019-11-28,1373
2019-11-29,1890
2019-11-30,1417
2019-12-01,1613
2019-12-02,1948
2019-12-03,1264
